dataset,rmsd
ginger,1.790132230805265
ginger,2.6811289559502596
ginger,1.7481642310853482
ginger,1.0071574996348824
ginger,1.530140493691163
ginger,2.3248533654503083
ginger,0.9952483874697717
ginger,2.6829788092276465
ginger,1.370985909703255
ginger,1.5509438301158616
ginger,1.8430129157426764
ginger,1.941528446483796
ginger,0.9363944697512355
ginger,1.967346258765777
ginger,0.32104250826588604
ginger,1.2206465779119136
ginger,1.77818481144921
ginger,1.9458132997076265
ginger,0.9083340880324013
ginger,2.2380245102544465
ginger,2.375531660295375
ginger,2.500664300108009
ginger,2.899525572941368
ginger,2.922486748180773
ginger,1.9949519692005364
ginger,2.516907230223842
ginger,0.9857330075521601
ginger,1.5045105641107337
ginger,2.0306711079837143
ginger,1.8624141195296775
ginger,1.4977250555783428
ginger,2.8387701329593833
ginger,1.9579655214028862
ginger,1.8217222569939389
ginger,2.008097068918696
ginger,2.667301710588211
ginger,1.9862869814337114
ginger,1.9751146214562847
ginger,1.6154424060592327
ginger,2.1042890415810973
ginger,1.4256249410682618
ginger,1.6843418466305053
ginger,2.8256479353725465
ginger,2.588451049015413
ginger,2.014202606418287
ginger,1.8692688045903791
ginger,2.7409656636839395
ginger,2.11509576226162
ginger,2.1272421774461274
ginger,1.6766274322240309
ginger,1.6167221940977847
ginger,2.7005995253597916
ginger,1.9379787912181285
ginger,2.227791457875264
ginger,2.512349468253696
bam,1.367101932634031
bam,1.5391535386163993
bam,1.2941903137300637
bam,1.3461972299450633
bam,1.2692315651242447
bam,1.6115774007448322
bam,1.4954877397929014
bam,1.585485568327995
bam,1.3028146074175
bam,1.381961379611167
bam,1.5885402146040348
bam,1.4003240443727687
bam,1.5298550980295824
bam,1.0009688772823302
bam,1.6388226869345475
bam,1.3890811058100305
bam,1.3601140387725712
bam,1.5053498142455457
bam,1.4283020102782495
bam,1.475155572865837
bam,1.2317993081736538
bam,1.2710470725286023
bam,1.5175101044692314
bam,1.2797931508904803
bam,1.5251010257169189
bam,1.0845888263111525
bam,0.8539893714585002
bam,1.6993178286159958
bam,0.9933422128128376
bam,0.9662342878115019
bam,1.5292800118581038
bam,1.5620329509580977
bam,0.9312540506393439
bam,1.4115553252718753
bam,1.213295024916457
bam,1.3385146796445913
bam,1.4355505683494836
bam,1.4377537376410123
bam,1.4828513690784444
bam,1.626999361746533
bam,1.0852408564175122
bam,1.4105012435259239
bam,1.171269907497986
bam,1.4685965578455853
bam,1.2943602833475714
bam,1.337084724667624
bam,1.401963369703989
bam,1.4646462938807328
bam,1.3999011180048806
bam,1.3128599086273256
bam_ff,1.6385032067223764
bam_ff,2.2406472418125496
bam_ff,2.24094657267128
bam_ff,2.2968629787372477
bam_ff,2.11033131787501
bam_ff,1.989539662263847
bam_ff,1.2623141611474369
bam_ff,2.567812405748423
bam_ff,1.9413334644847426
bam_ff,1.9181014387144935
bam_ff,2.2441034815873175
bam_ff,1.6160200495327544
bam_ff,1.9920671593989037
bam_ff,1.5000510531263684
bam_ff,1.4773506488196337
bam_ff,1.8992084679451862
bam_ff,2.3212554222824746
bam_ff,1.8937846542194987
bam_ff,1.5345920633039631
bam_ff,1.4361254785608517
bam_ff,1.5824886945632415
bam_ff,2.561815818104639
bam_ff,2.0337260670982604
bam_ff,1.3792128054457802
bam_ff,1.5228370435668876
bam_ff,1.9558840458233382
bam_ff,2.12907446481573
bam_ff,2.1709475004002146
bam_ff,2.0859974455542196
bam_ff,1.745172589437686
bam_ff,1.8309766435484738
bam_ff,2.0083176345827476
bam_ff,2.877222827278343
bam_ff,1.9852650990200804
bam_ff,1.7683249220249082
bam_ff,1.5490260512576726
bam_ff,1.9881592198561142
bam_ff,1.7380962577402304
bam_ff,2.114852774625332
bam_ff,1.8246406397681745
bam_ff,2.2873747959444675
bam_ff,2.0108307321450227
bam_ff,2.052274444665325
bam_ff,2.3616704272553535
bam_ff,2.0670870425821826
bam_ff,1.7285682385422625
bam_ff,1.7538044150318755
bam_ff,1.8403948879423946
bam_ff,2.2577804304398654
bam_ff,1.5122609977737287
frog2,1.4149283357255722
frog2,2.0142530097645546
frog2,2.0370699225802125
frog2,1.4285974154357184
frog2,2.0471571135651208
frog2,1.4298033671235522
frog2,1.4255919514266653
frog2,1.0965292604461128
frog2,1.0388671045906501
frog2,1.5586727648469465
frog2,1.4187379099559494
frog2,2.0730001517716796
frog2,1.4647567975844613
frog2,1.426778546027396
frog2,1.493128928067452
frog2,1.0663500841349718
frog2,1.482693696079357
frog2,2.013889148345736
frog2,2.1310173533501073
frog2,2.1196558033193162
frog2,2.1197595081159544
frog2,2.149316065494552
frog2,2.1574446001611025
frog2,2.074637835995436
frog2,1.5149404886601763
frog2,1.5503350773368247
frog2,1.5590634426700958
frog2,1.4964597228677186
frog2,2.06170339582651
frog2,2.036257181868177
frog2,1.5283248518080308
frog2,1.494077276450067
frog2,2.036914296480542
frog2,2.0351873298761984
frog2,1.4211598438762985
frog2,1.0710975312252808
frog2,1.2906642794827523
frog2,1.374846710206694
frog2,1.5237555342352636
frog2,1.596838874584752
frog2,1.5608922258125175
frog2,2.0627883188171765
frog2,1.4150750850706078
frog2,1.4431167799024966
frog2,2.121970787271783
frog2,2.036551947757957
frog2,2.083975358052024
frog2,1.4728649525072808
frog2,1.4673565021250503
frog2,1.2880990807909938
bam_ov,2.8918926792136386
bam_ov,1.8924219845856942
bam_ov,2.67798472694284
bam_ov,2.345944084604633
bam_ov,2.8471665258229346
bam_ov,1.503639433364198
bam_ov,2.620203817453134
bam_ov,1.8839443709609134
bam_ov,1.8525499650667163
bam_ov,2.436473220032644
bam_ov,1.7348036315786723
bam_ov,2.4479120856604104
bam_ov,3.857112285098073
bam_ov,2.6286686955642278
bam_ov,3.0358207995178885
bam_ov,3.2115038312156705
bam_ov,3.0981801514978784
bam_ov,3.38695179083213
bam_ov,2.6198009594759073
bam_ov,1.5593718633002878
bam_ov,3.1872641965597963
bam_ov,2.0171475749065233
bam_ov,3.192866696919931
bam_ov,2.935541139072535
bam_ov,3.4014732493893653
bam_ov,2.870045511065828
bam_ov,1.4156988622015239
bam_ov,2.37481230232767
bam_ov,2.675891887204633
bam_ov,2.6120887942101456
bam_ov,1.885724688409652
bam_ov,2.270097354587963
bam_ov,1.6560369659291807
bam_ov,2.2666520150847567
bam_ov,3.0786572336910685
bam_ov,3.1835242106499715
bam_ov,2.410355809288047
bam_ov,3.649399231770217
bam_ov,2.2156371397109536
bam_ov,1.817343781184089
bam_ov,1.6076615530486573
bam_ov,1.668527159941564
bam_ov,3.1001715228589752
bam_ov,3.2018257483482895
bam_ov,1.602320374298977
bam_ov,2.2329781959014143
bam_ov,2.6706962995698182
bam_ov,2.4622164409429628
bam_ov,1.501147439774933
bam_ov,2.3822658592415946
